Booth Number,Booth Name,Zone,Booth Description
Amphi,Water Dunk Tank,Blue Zone - Carnival Games ,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
S1,Caricature,Blue Zone - Merchandise and Services,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
S2,Photo Booth & Keychain Holder,Blue Zone - Merchandise and Services,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
S3,Shrink Keychains,Blue Zone - Merchandise and Services,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
S4,Face Gems,Blue Zone - Merchandise and Services,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
S5,Hairstyling,Blue Zone - Merchandise and Services,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
S6,Bracelet Making,Blue Zone - Merchandise and Services,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
AB1,Astro,Green Zone - Challenge Games Zone,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
AB2,[Game] Soccer Dart,Green Zone - Challenge Games Zone,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
DS3,Escape Room,Green Zone - Challenge Games Zone,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
Gym,[Game] Laser Tag,Green Zone - Challenge Games Zone,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
ISH1,[Game] Punching Machine,Green Zone - Challenge Games Zone,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
ISH2,[Game] Naughty bean,Green Zone - Challenge Games Zone,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
ISH3,[Game] Gladiator Dome,Green Zone - Challenge Games Zone,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
ISH4,[Game] Inflatable Human Bowling Pin,Green Zone - Challenge Games Zone,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
ISH5,[Game] Ball Throwing,Green Zone - Challenge Games Zone,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
ISH6,First Aid Station 1,Green Zone - Outside ISH/ Outdoor Basketball Court ,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
MPC,,Green Zone - Challenge Games Zone,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
NBD1,,Green Zone - Challenge Games Zone,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
NBD2,Slippery Slope (Changing to Drinks Stall),Green Zone - Challenge Games Zone,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
NBD3,,Green Zone - Challenge Games Zone,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
NBD4,,Green Zone - Challenge Games Zone,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
BG1,Ping Pong Balls,Green Zone - Challenge Games Zone,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec efficitur lectus magna, lacinia congue metus sodales sit amet."
